,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,35815036,1.0,True,Noord-Oost,52.44,4.957,Entire home/apt,2,1,1,5,105.0,3,100,True,4,6,4.96,False,52.5,315.0,0.05,0.12,0.16,4.99,0.6648351648351648,528.8873626373627
1,19572024,1.0,False,Watergraafsmeer,52.3,4.91,Entire home/apt,6,3,3,14,279.0,3,44,True,6,3,4.69,False,46.5,837.0,0.09,0.16,0.14,4.99,0.8164383561643835,1496.5479452054794
2,2973384,0.38,False,Watergraafsmeer,52.3,4.906,Entire home/apt,5,3,3,7,185.0,6,21,True,0,0,4.83,False,37.0,1110.0,0.06,0.12,0.18,4.99,0.03561643835616438,941.3013698630137
3,34985473,1.0,True,Noord-Oost,52.44,5.043,Entire home/apt,5,3,3,4,135.0,6,101,True,7,0,4.43,False,27.0,810.0,0.08,0.13,0.17,4.99,0.16164383561643836,748.5616438356165
4,44174770,1.0,True,Watergraafsmeer,52.34,4.953,Private room,1,1,1,8,59.0,30,101,True,0,0,4.88,True,59.0,1770.0,0.05,0.12,0.15,2.99,0.6712328767123288,296.5068493150685
5,50065811,0.92,False,Bijlmer-Centrum,52.28,4.97,Entire home/apt,6,3,3,14,275.0,5,42,True,18,1,4.14,False,45.84,1375.0,0.02,0.15,0.28,4.99,0.4602739726027397,1375.0
6,51340421,0.64,False,Watergraafsmeer,52.34,4.938,Entire home/apt,4,2,2,11,275.0,1,101,True,10,3,4.73,False,68.75,275.0,0.11,0.15,0.23,4.99,0.3333333333333333,1345.2380952380952
7,18082645,0.29,False,Watergraafsmeer,52.34,4.957,Entire home/apt,6,3,3,6,150.0,4,101,True,1,1,4.88,False,25.0,600.0,0.09,0.13,0.18,4.99,0.0684931506849315,895.8904109589041
8,47709873,1.0,False,Westerpark,52.4,4.875,Entire home/apt,2,1,1,6,210.0,3,120,True,0,0,4.75,True,105.0,630.0,0.09,0.15,0.19,4.99,0.43561643835616437,1084.849315068493
9,2818,1.0,True,Oostelijk Havengebied - Indische Buurt,52.38,4.945,Private room,2,1,1,4,49.0,3,28,True,3,4,4.47,True,24.5,147.0,0.08,0.1,0.14,0.99,0.20821917808219179,346.90410958904107
10,44391,0.67,False,Centrum-Oost,52.38,4.914,Entire home/apt,4,2,2,1,240.0,3,-38,True,0,0,4.71,False,60.0,720.0,0.09,0.17,0.29,4.99,0.0,1200.0
11,49552,0.92,True,Centrum-West,52.38,4.89,Entire home/apt,3,2,2,5,232.0,3,101,True,0,8,4.91,False,77.3,696.0,0.1,0.25,0.25,4.99,0.4581005586592179,1162.5
12,55709,0.19,False,Centrum-Oost,52.34,4.9,Entire home/apt,2,1,1,5,151.0,3,30,True,0,0,4.95,False,75.5,453.0,0.09,0.19,0.24,4.99,0.0027397260273972603,818.6849315068494
13,55868,0.0,False,Zuid,52.34,4.887,Entire home/apt,4,2,2,1,149.0,4,21,True,0,0,4.86,False,37.25,596.0,0.06,0.14,0.18,4.99,0.0,749.2191780821918
14,80635,0.87,True,Centrum-West,52.38,4.895,Private room,1,1,1,1,82.0,3,101,True,0,0,4.77,True,82.0,246.0,0.05,0.11,0.15,4.99,0.0,409.24657534246575
15,97476,0.78,False,Zuid,52.34,4.863,Entire home/apt,2,1,1,10,115.0,14,30,True,0,0,4.89,False,57.5,1610.0,0.07,0.14,0.18,4.99,0.0,575.0
